Category,Query,nct_id,title,status,phase,brief_summary,conditions
cell senescence,senescence aging,NCT06142890,Efficacy of Ceiling Fans for Mitigating Thermal Strain During Bed Rest in Older Adults During Heat Waves,COMPLETED,,"With the increasing regularity and intensity of hot weather and heat waves, there is an urgent need to develop heat-alleviation strategies able to provide targeted protection for heat-vulnerable older adults. While air-conditioning provides the most effective protection from extreme heat, it is inaccessible for many individuals. Air-conditioning is also energy intensive, which can strain the electrical grid and, depending on the source of electricity generation, contribute to green house gas emissions. For these reasons, recent guidance has recommended the use of electric fans as a sustainable cooling alternative. While fans may increase sweat evaporation and heat loss in healthy, young adults, evidence supporting their use in older adults is scarce. Further, studies show that when environmental temperature exceeds skin temperature, fans are not effective and can even exacerbate hyperthermia in older adults. While older adults only account for \~13% of the population, they account for \~40% off all hospitalizations. In the context of sustainable cooling interventions, this is of particular importance given that many hospitals and long-term care homes do not have air-conditioning and rely on ceiling fans to enhance sweat evaporation while participants are bed-resting. While recent biophysical modelling has suggested that pedestal fans likely provide a clinically meaningful cooling effect (proposed to be ≥0.3°C) in temperatures below \~34°C in older adults, the efficacy of ceiling fans in mitigating heat strain in these conditions is currently unknown.

To address these knowledge gaps, this randomized crossover trial will evaluate body core temperature, cardiovascular strain, orthostatic intolerance, dehydration, and thermal comfort in adults aged 65-85 years exposed for 8-hours to conditions experienced during indoor overheating occurring during a heat wave in a temperate continental climate (31°C, 45% relative humidity). Each participant will complete two randomized exposures that will differ only in the airflow generated by a ceiling fan: no airflow (control) or standard airflow. Participants will remain in a supine position for the duration of the 8-hour exposure period, except for during hour 7 when they will complete a series of cardiovascular autonomic response tests.","Hyperthermia, Heat Stress, Cooling, Aging"
cell senescence,senescence aging,NCT06163287,Hydrogen-Rich Water and Exercise-Related Biomarkers in Men and Women Over 50 Years,COMPLETED,,"The study investigates the impact of consuming hydrogen-rich water over a six-week period on exercise-related biomarkers among individuals aged over 50, both men and women, who undergo a resistance training program. This research aims to discern the potential benefits of hydrogen-infused water consumption concerning exercise-related markers in an aging demographic post-resistance training.",Aging
cell senescence,senescence aging,NCT02807506,Affordable Mobile Robots for the Elderly,COMPLETED,,This project develops and tests the use of service robots to track health of the elderly over time. The objectives are to develop a low-cost mobile manipulator capable of a limited set of elder- relevant manipulation tasks (e.g. picking up dropped items). The investigators will visualize and model the use of the service robot during deployments at an elder care facility. Feedback from focus groups with elders and clinicians will inform the necessary engineering innovation.,Aging
cell senescence,senescence aging,NCT02735005,Determining the Needs of Aging People With Disabilities,COMPLETED,,"Heterogeneous modalities of aging lead to describe three categories of elderly patients: 1-healthy without frailty, 2- healthy with frailty, 3- patients with chronic disease(s) and frailty. Frail people have a high risk of losing functional independence and as a consequence they require more help for day to day life. It is known in elderly that physical activities, nutrition, social environment are important to maintain functional independence.

For patients with disabilities, less is known about the occurence of dependance with aging. That is of growing importance because life expectancy of disabled patients has increased a lot during last decades, and because caregivers, often parents, also become elderly and frail.

So the investigators will require tools to anticipate prevention and supportive needs for this specific population.

The goal of this study is to evaluate if the participants (disabled patients over 40 years old) of a well-defined region in the south-east of France (400000 inhabitants), and to assess their needs, using the Functional Autonomy Measurement System (SMAF) developed for assessment of the elderly, by Rejean Hebert \& Nicole Dubuc's team in Sherbrooke University (Quebec/Canada).","Disabled People, Aging, Mental Handicap"
cell senescence,senescence aging,NCT06354166,Study Human Digital Support Transitional Care,NOT_YET_RECRUITING,,The purpose of the study is to compare the effectiveness of Divomed in organising complex hospital discharges with a conventional organisation. Effectiveness will be assessed by reducing the length of stay of patients in geriatric short-stay care.,Aging
cell senescence,senescence aging,NCT04545970,A Clinical Study to Evaluate Efficacy and Safety of a Cosmetic Product in the Treatment of Facial Lines,COMPLETED,,"This randomized, double-blind, placebo-controlled clinical trial was conducted to assess the efficacy and safety of an anti-aging serum to improve the appearance of expression lines as well as overall skin health of aging skin after 12 weeks of twice-daily use in female subjects, aged 35-60, compared to placebo. A total of 55 subjects completed study participation which included 33 subjects in the active group and 22 subjects in the placebo group.","Fine Lines, Wrinkles, Photoaging"
cell senescence,senescence aging,NCT04981366,Protein Supplementation in Elderly With Sarcopenic Obesity Undergoing Caloric Restriction and Exercise,COMPLETED,,This study aims to investigate if protein supplementation increases the benefits of exercise training in the elderly with sarcopenic obesity undergoing caloric restriction.,"Sarcopenic Obesity, Aging"
cell senescence,senescence longevity,NCT05455229,Elucidating How Physical Activity and Sleep Relate to Optimal Cognitive Ageing,COMPLETED,,"Increased longevity is one of the greatest success stories in public health. However, ageing is accompanied by cognitive decline which affects people's daily functioning and, if it develops to dementia, their ability to live independently. By 2050, the number of people who develop dementia will triple to 152 million. The aim of this project is to precisely examine how physical activity (PA) and sleep, both modifiable lifestyle factors, are related to cognitive function and which role they can play in optimal cognitive ageing. To do so, a longitudinal study will be conducted, with objective measures of PA, sleep and cognition in midlife and older adults. This project will meet the current need for longitudinal studies with objective PA and sleep data, as well as provide, for the first time, in-depth information on associations of type of PA (aerobic vs muscle strengthening), characteristics of sleep (quality vs quantity) with specific cognitive domains (executive function and memory). Furthermore, although PA and sleep are related, the behavioural dynamics of combinations of PA and sleep on cognition has never been studied before. To fill this gap, these relationships will be examined with an innovative statistical approach, looking at data across a 24-hour period. The resulting deeper understanding of the precise relationship between PA, sleep and cognitive function will contribute to the development of preventive interventions for maintaining cognitive health at older age.",Cognitive Aging
cell senescence,senescence longevity,NCT05500742,Anti-age Dietary Supplements in Healthy Older Adults: the proBNPage Reduction Trial,UNKNOWN,,"Background - The research on the possibilities to extend longevity in humans is presently based on large and long randomized longitudinal studies designed to compare all-cause mortality between treated and control groups. The availability of a simple and reliable marker of biological age might allow an acceleration of the research in this field, demonstrating in small samples and after limited periods of time, the ability of a given treatment to slow down, arrest or even revert the progression of biological age. Our previous studies suggest that this marker of biological age might be the N-terminal of B-type natriuretic peptide precursor (NT-proBNP), from which proBNPage, namely a biological age surrogate in years, can easily be calculated.

Objectives of the study - 1) To fine-tune the method of proBNPage assessment, i.e., to establish the minimum time required to detect a significant increase in proBNPage in a small group of subjects. This will be the duration of next studies to test possible ""anti-age"" treatments. 2) To assess the ability of 4 ""anti-age"" treatments, which provided promising results in previous experimental and human studies, to modify proBNPage progression.

Study design - Double-blind randomized clinical trial on a sample of healthy older adults stratified for age and sex.

Study description - One hundred and twenty healthy subjects (in particular, without previous or current cardiovascular diseases) aged 65-80 years of both sexes will be randomized into 3 groups: A) Coenzyme Q10 100 mg bid + Selenium 100 mcg; B) Resveratrol 350 mg bid + TA-65 MD 100 U; C) Placebo-1 bid + Placebo-2. All these subjects will be followed for 2 years and checked 8 times, to assess both proBNPage progression and the safety of the treatments. Handgrip strength, aerobic capacity at the step test and quality of life will also be assessed.

Statistical analysis - In the placebo group, the minimum time required to obtain a significant increase in proBNPage will be established by paired t tests. In the treated groups, possible differences in proBNPage progression with the curve obtained in the placebo group will be sought, both according to intention to treat and in the subjects that will complete the study, by repeated measures ANOVA.",Aging
cell senescence,senescence longevity,NCT07220473,Tirzepatide to Slow Biological Aging,NOT_YET_RECRUITING,PHASE2,"This pilot clinical study aims to investigate the potential effects of tirzepatide on biological aging in older adults. In this novel study, 90 adults aged 55-70 years with an indication for tirzepatide weight-loss therapy will be randomized to receive either tirzepatide 2.5 mg subcutaneously (SC) weekly or no drug for 24 weeks, followed by 12 weeks off the drug. Since tirzepatide is already recognized as a highly effective weight-loss agent in this population, the primary focus will not be on measuring weight loss. Instead, the study will document the effects of tirzepatide on markers of aging, physical function, and overall health.","Aging, LONGEVITY 1"
